StressLevel,SleepHours,Workload,ManagerSupport,WorkLifeBalance,PhysicalActivity,BurnoutRisk,Productivity
6,1,6,6,2,3,0,45.74341305348195
3,2,7,3,4,3,0,38.11625576588971
10,8,2,3,4,8,1,55.31805293614437
7,6,5,10,8,8,1,66.93730390819655
4,3,0,7,9,8,0,63.23955054030867
6,9,6,3,1,9,0,55.07116332870081
9,4,0,5,1,6,1,50.063488967649675
2,1,8,4,5,1,1,48.85190894360635
6,10,0,2,8,9,0,65.76843807117433
10,7,0,9,0,4,1,58.250680581856926
10,3,6,10,8,3,1,41.27560722933838
7,8,1,1,8,10,1,49.91504396233474
4,4,4,8,8,7,0,65.10414213263874
3,8,7,9,4,1,0,71.20298803380655
7,3,7,8,8,5,1,52.26468407132539
7,9,2,0,10,4,1,62.08276968027927
2,4,6,9,3,1,0,59.36232939972563
5,8,2,2,1,10,0,51.887173042784674
4,7,5,7,5,9,0,62.39069548102347
1,2,5,5,3,0,0,56.20842234132222
7,0,2,4,5,7,1,42.22388883599686
5,2,6,4,2,1,0,45.352934269178874
1,3,2,5,5,6,0,64.87987516932301
4,1,7,6,1,8,0,43.18489708886703
0,0,9,0,1,8,1,39.4433137677548
9,6,3,8,8,7,1,57.566222836725046
5,7,0,2,6,10,0,67.49690293093477
8,6,3,3,2,9,1,45.56761641374014
0,4,6,9,10,8,0,74.3975724190942
10,0,10,0,0,1,1,8.771143246817157
10,6,3,10,7,5,1,55.44648088467635
9,6,5,9,5,3,1,54.95932372824247
2,8,8,2,6,3,1,48.373999739894415
6,2,0,1,8,4,0,51.61866278245559
3,8,4,1,4,2,0,51.06811497195409
8,0,10,0,0,0,1,19.896170171568038
2,0,6,7,9,7,0,61.75055298054457
4,3,0,2,6,4,0,53.880243892895976
2,8,3,2,4,2,0,66.54156481236747
6,5,5,5,2,9,0,53.39567856843747
4,10,1,7,8,6,0,84.81234611250892
8,2,9,8,0,6,1,34.8722541698582
6,0,4,8,0,0,0,46.47152337780748
1,3,10,3,0,8,1,37.25334344039803
3,8,9,4,2,1,1,52.615612328283405
8,2,0,1,5,4,1,43.16448296604612
1,8,5,10,9,4,0,77.13106013107318
9,6,5,8,10,7,1,59.18031695734814
8,3,3,7,2,7,1,49.23765188079038
9,2,7,2,7,6,1,40.61754383977494
4,9,3,10,9,6,0,81.72577763649443
1,4,7,8,1,10,0,59.80965267480776
3,4,7,2,8,5,0,55.266415866247684
6,2,4,8,2,5,0,62.637671828484805
7,8,3,1,4,10,1,43.8498379836371
2,3,1,9,9,8,0,71.0603306658141
0,10,10,8,7,5,1,79.77028026244041
3,4,2,7,1,1,0,58.33993462573263
1,3,2,8,5,1,0,72.8290156880086
7,4,3,4,4,4,1,50.55004761881418
3,6,3,10,9,3,0,86.92601200604004
1,8,9,10,8,10,1,66.83472786468143
5,6,10,1,4,1,1,46.40900276259406
5,4,10,7,1,2,1,50.4479065263625
9,9,4,5,4,6,1,50.02790561416
3,9,3,7,3,7,0,74.61435121790672
5,6,10,10,10,5,1,56.17251007085472
1,9,9,4,6,10,1,63.15080786267563
9,4,7,9,5,4,1,45.61706034908913
1,2,5,1,1,0,0,33.68623032550157
9,6,5,5,10,7,1,56.621171298559496
3,10,7,4,10,2,0,70.11669583803116
7,10,6,4,4,5,1,63.3953948670288
6,1,9,0,6,2,1,34.05571827324772
8,8,10,1,10,6,1,56.954419620393814
7,9,9,7,6,6,1,56.03521191039357
4,9,7,2,4,8,0,54.67234973998846
1,0,1,9,8,4,0,68.37821674641452
4,5,8,2,3,7,1,42.00205644484113
7,6,0,7,10,9,1,59.46124541808716
9,7,7,7,2,9,1,45.19902686496022
8,9,10,1,3,7,1,28.760726367820034
8,8,3,7,4,0,1,62.16016672292884
0,1,3,10,5,4,0,61.39969853764707
8,10,4,0,2,2,1,44.728336884557905
6,9,7,5,1,0,0,48.75294902583724
8,1,4,7,3,3,1,41.87532481093376
7,4,7,2,4,7,1,39.23434127469518
0,4,9,7,3,2,1,61.32239791536534
7,5,0,0,10,9,1,55.11234953246223
7,2,9,10,2,1,1,43.60073068111185
10,7,8,10,7,10,1,66.65433616611784
2,0,5,8,9,8,0,61.68675351381614
0,5,2,10,3,9,0,74.09755105534182
7,3,7,8,1,4,1,38.70424174035851
2,0,8,4,1,6,1,37.82834227289836
2,6,5,9,0,10,0,58.06889828195297
0,8,10,3,3,10,1,57.443307133418855
10,3,6,10,9,1,1,51.517720693196964
4,3,0,5,8,8,0,54.288903895411025
9,5,4,6,10,8,1,55.70720997116966
6,2,4,4,6,3,0,53.380731563200065
9,5,9,10,9,3,1,49.60444073898624
8,6,3,9,6,5,1,58.035516137942196
6,10,5,8,6,9,0,61.31149613441574
8,9,6,2,7,9,1,43.31003979187798
7,9,8,6,0,9,1,52.75674633531627
1,2,0,9,9,5,0,75.39260835210402
0,6,5,9,9,0,0,81.16010781001711
6,2,6,10,7,8,0,62.25661872289736
6,1,2,4,3,1,0,50.60623842455173
7,9,7,6,3,4,1,51.28813839280601
4,3,4,1,3,8,0,46.62433832328777
2,7,8,3,5,3,1,53.02613567421541
7,8,4,1,6,10,1,49.95855768699168
5,6,8,6,5,2,1,54.31407581201312
10,0,9,1,0,6,1,11.13853058440914
2,2,3,10,7,5,0,56.9542419045565
0,8,8,0,9,7,1,57.95926052136311
